brewery_id,brewery_name,no_of_beers,no_of_beerstyles
2653,Grivita International (Brau Union Romania),1,1
2656,Browary Warka Sp. z o.o.,2,2
2660,Hausbrauerei Zum Schlüssel,1,1
2669,Black Forest Brew Haus,51,30
2671,Jasper Ridge Brewery,9,7
2674,Sheepscot Valley Brewing Company,9,9
2675,Phillips Brewing Company,55,35
2681,Oskar Blues Grill & Brew,59,27
2684,Hair of the Frog Brewery,2,2
2686,Brasserie Seigneuriale (Sleeman Breweries Ltd.),3,3
2687,Heavenly Daze Brewery and Grill,3,3
2689,Ursus S.A. (SAB) / Compania de Bere Romania,8,5
2695,Bull & Bush Pub & Brewery,45,37
2696,Jarre Creek Ranch Brewery,2,2
2697,Brasserie de Luxembourg Mousel -Diekirch SA,6,3
2698,Ocean Avenue Brewery,4,4
2699,Laguna Beach Brewing Company,11,11
2700,Taps Fish House & Brewery,48,35
2706,Parkbrauerei / Park & Bellheimer AG,5,3
2707,Olde Peninsula Brewpub & Restaurant,23,17
2709,Licher Privatbrauerei,4,4
2710,BJ's Chicago Pizza & Brewery Inc.,30,23
2711,BJ's Restaurant & Brewery,29,22
2712,Castle Eden Brewery Ltd,1,1
2722,Schlossbräustüberl Odelzhausen,1,1
2723,Brauerei Gasthof Hartmann,8,7
2724,Pacific Coast Brewing Company,16,14
2725,Kraftbräu Brewery,27,21
2739,Golden Lion Brewing Company / Pub & Brasserie le Lion D'Or,6,6
2741,Redfish New Orleans Brewhouse,12,11
2743,Green Flash Brewing Co.,52,24
2749,Wadworth and Company Ltd.,14,6
2756,Mudshark Brewing Co.,12,10
2758,Smiles Brewing Co. Ltd,6,5
2760,Ringwood Brewery,7,3
2762,"Portchester Brewery, The",1,1
2764,Abbey Ales Limited,4,2
2766,Ironworks Brewpub,3,3
2769,Ahornberger Landbrauerei,8,5
2772,Titletown Brewing Company,38,30
2789,Brouwerij De Block bvba,5,3
2790,Harper's Restaurant & Brewpub,25,20
2791,Brouwerij Timmermans-John Martin N.V.,21,8
2792,Phantom Canyon Brewing Company,44,31
2793,County Durham Brewing Company,12,12
2796,Brouwerij 't Gaverhopke,10,6
2802,Lomsko Pivo,4,4
2804,Pivovaren Zavod Varensko Pivo,4,2
2805,U Fleků Pivovaru a Restauraci,1,1
2807,Microbrasserie Charlevoix,33,15
2809,The Walkerville Brewing Company,3,3
2810,Streets Of New York / Uptown Brewery,8,7
2811,Railhouse Restaurant & Brewery,11,10
2822,St. George Brewery,2,2
2825,Brasserie Saint Antoine Abbé,6,5
2827,La Ferme Au Chene,1,1
2830,America's Brewpub,25,17
2832,AuerBräu AG,5,4
2835,Big River Grille & Brewing Works,10,10
2841,Wern Fawr / Bryncelyn Brewery,1,1
2845,Invercargill Brewery,11,10
2846,Pivovar Saris,4,3
2849,Gasthof Hotel Adlerbräu Gunzenhausen,2,2
2850,Stadtbrauerei Spalt,4,3
2853,Brauerei Schlösser GmbH,1,1
2854,Flensburger Brauerei GmbH Und Co. KG,10,8
2855,Hasseröder Brauerei GmbH,4,4
2857,Brauhaus Georgbræu,2,2
2858,Lemke Gasthausbrauerei,6,6
2859,Lindenbräu am Potsdamer Platz,2,2
2860,Brauhaus in Spandau GmbH,4,4
2873,Rome Brewing Company,6,5
2874,Brasserie St. Feuillien,19,10
2875,Carolina Brewery,26,23
2876,Hofbräuhaus Traunstein Josef Sailer KG,6,6
2877,Backcountry Brewery (Brewpub & Pizzeria),16,14
2882,Beer Factory,10,10
2888,S. C. Martens S. A.,5,5
2890,Standing Stone Brewing Company,20,16
2891,Karlsberg Brauerei,16,9
2898,Gold-Ochsenbrauerei Fritz Unbehauen,1,1
2900,Paulista Brewery,1,1
2905,Boston Baked Beans Co.,1,1
2906,Wildwood Brewing Co.,17,12
2907,Birra Tirana,1,1
2909,"White Winter Winery, Inc.",4,1
2910,United Brewing Group,1,1
2915,Gruhlke Brewery,14,13
2916,Highwood Brewery Ltd.,11,4
2919,"Wild Duck Brewery, Restaurant And Music Hall",9,9
2923,Cerveceria Boliviana Nacional S.A.,9,6
2924,Cervecería De Barranquilla,4,2
2930,Robert Cain & Company Limited,15,10
2931,Brauerei Brinkhoff GmbH,3,2
2933,Huisbrouwerij Old Bailey,6,5
2936,J.T. Whitney's Pub & Brewery,29,26
2937,Isar Bräu,1,1
2940,Coach's Brewhouse,8,7
2943,Otto's Pub and Brewery,69,44
2946,The Grumpy Troll Restaurant and Brewery,43,29
2951,Red Oak Brewery,14,11
2952,Brasal-Brasserie Allemande,1,1
2953,Portsmouth Brewing Co. / Mault's Brewpub,10,10
2958,BFM Brasserie Des Franches-Montagnes,30,14
2959,Bandersnatch Brewpub,8,8
2962,First Coast Brewing,1,1
2963,Ginnheimer Wirtshaus,6,5
2965,Otter Brewery Ltd,7,5
2968,Hancock Bryggerierne,4,3
2969,Königsbacher Brauerei,7,4
2970,Lao Brewery Co.,3,3
2972,Mountain Sun Pub & Brewery,74,38
2974,Radeberger Exportbierbrauerei,3,3
2975,Powerhouse Brewing Co.,1,1
2976,Pints Pub and Brewery and Freehouse,9,8
2977,Brasserie Pietra,5,5
2979,Leopold Bros. Brewery of Ann Arbor,14,14
2980,Alameda Brewhouse,26,22
2998,Le Brasse-Temps (Louvain-la-Neuve) / Brasserie Dubuisson Frères,1,1
3010,Crown City Brewery,5,5
3024,Southern Sun Pub and Brewery,7,5
3032,Hawks Brewing,7,7
3042,BJ's Restaurant & Brewhouse,59,39
3043,Brauerei Hirt GmbH,8,7
3044,Brauerei Schleswig,3,3
3045,C.K. Browar,3,3
3046,Cerpa Cervejaria Paraense S/A,1,1
3048,Dithmarscher Brauerei / Karl Hintz GmbH & Co.KG,5,5
3049,Elgood and Sons Ltd,13,8
3052,Hook Norton Brewery Co. Ltd.,17,9
3054,Brouwerij Paeleman,4,4
3055,English Ales Brewery,14,12
3061,Stonefly / Onopa Brewing Company,10,10
3062,Amos Howard's Brew Pub,32,25
3065,Jämtlands Bryggeri AB,20,14
3066,Dusters Restaurant and The Gottberg Brew Pub,12,10
3069,Kieler Brauerei,3,2
3073,Oggi's Pizza & Brewing Co.,41,26
3079,Ram International / Humperdinks Restaurant and Big Horn Brewing,20,15
3080,Humperdinks Texas LLC,9,9
3081,Shaw Wallace & Company Ltd.,5,3
3082,Main Street Brewery,3,3
3084,Drayman's Brewery,4,4
3087,4th Street Brewing Company,1,1
3089,The Original Basil T's,17,15
3090,Original Saratoga Brew Pub,11,10
3091,Frederic Robinson Limited,20,10
3092,W. J. King & Co. Brewers,8,4
3098,Big Dog's Draft House,43,31
3099,T.D.Ridley & Sons Limited,4,4
3106,Cerveceria La Tropical Brewmasters,1,1
3114,California Brewing Company,7,7
3120,Alpine Beer Company,43,21
3123,Aberdeen Brewing Company,1,1
3146,Lake Superior Brewing,9,8
3173,Boston Breweries,2,2
3174,Coopersmith's Pub & Brewing,44,31
3175,Calwer-Eck-Bräu GmbH & Co. KG,1,1
3180,Brauerei Gold Ochsen GmbH,1,1
3181,Dom-Brauerei GmbH,1,1
3182,Fürstlich Fürstenbergische Brauerei KG,15,9
3183,Hochdorfer Kronenbrauerei Otto Haizmann KG,5,5
3184,Hannen Brauerei GmbH,1,1
3185,The Tap Brewing Company,99,56
3188,Brøckhouse Aps,14,12
3191,Federation Brewery Ltd,4,4
3192,Calhoun's Microbrewery,9,9
3193,Edelweissbrauerei Farny,3,3
3194,Hue Brewery LTD,2,1
3196,Flat Branch Pub & Brewery,61,41
3200,Portneuf Valley Brewing,9,9
3207,San Francisco Brewing Company,17,14
3215,Les Brasseurs de la Brie,1,1
3216,Brasserie O'Neil,4,4
3217,Brasserie Zannekin,1,1
3218,Brasserie de Saverne,16,7
3219,Brasserie La Saint-Pierre,11,6
3225,Hawai'i Nui Brewing / Mehana Brewing Company,13,10
3232,BJ's Restaurant & Brewery,12,11
3239,Sierra Blanca Brewing Company (Rio Grande),13,10
3240,West Brothers Brewery,7,5
3242,Great Baraboo Brewing Company,4,3
3246,Cheshire Cat Brewpub,2,2
3253,Bonfire Bistro & Brewery,16,15
3255,Cool Beer Brewing Co.,8,7
3257,Tracks Brewpub (Duplicate),1,1
3258,Humperdinks Restaurant and Sports Bar,8,8
3259,The Merchant Ale House Restaurant & Brewpub,13,10
3260,The Native Brewing Co.,3,3
3264,TableRock BrewPub,15,13
3266,Sockeye Grill & Brewery,16,13
3267,Oyster Bar Brewery,10,10
3268,O'Fallon Brewery,34,20
3273,Mountain Town Station Brewing Co. & Steakhouse,4,4
3282,Brasserie La Binchoise (Malterie des Remparts),17,8
3291,Hochstiftliches Brauhaus,11,9
3296,Agassiz Brewing Co.,1,1
3299,Brasserie Sainte-Colombe,7,5
3300,Brasserie Saint-Monon,16,6
3311,Som Distilleries & Brewery,3,2
3313,Brouwerij Kerkom,21,8
3314,Brasserie Val De Sambre,18,8
3328,Brasserie Gigi,3,3
3333,Great Dane Pub & Brewing Company (Fitchburg),9,9
3337,Brauerei Herrenhausen KG,1,1
3339,Brauhaus Ernst August,2,2
3340,Dinkelacker-Schwabenbraeu AG,18,11
3341,Park & Bellheimer AG,13,8
3342,Tuborg Deutschland GmbH,2,1
3345,Blue Anchor,6,6
3346,Chalk Hill Brewery,5,3
3349,Museum Brewing Company / White Shield Brewery,5,4
3350,Freedom Brewery Ltd.,3,3
3351,Coors Brewers Ltd,9,3
3352,Humperdinks Restaurant and Sports Bar,2,2
3353,Rockyard Brewing,27,24
3354,Dostal Alley Brewpub,5,5
3355,Wolf Rock Brewing Company,1,1
3363,Iceni Brewery,14,10
3364,Hydes Brewery Ltd,11,5
3365,Keltek Brewing Company Ltd,6,5
3366,Pitfield Organic Brewery,22,13
3377,"Grand Union Brewery, The",12,6
3392,Ballard's Brewery Limited,9,6
3393,Black Isle Brewery Co Ltd,12,8
3394,Forth Brewery Ltd,1,1
3396,Bridge Of Allan Brewery Ltd,12,5
3398,Harbour Bar / Fyfe Brewing Company,1,1
3400,Sulwath Brewers Ltd,2,2
3401,Atlas Brewery Ltd,5,5
3403,"Cairngorm Brewery Company, The",13,7
3404,Hebridean Brewery Company,7,5
3405,Fisherrow Brewery,1,1
3407,"Clockwork Beer Co, The",4,4
3408,Valhalla Brewery (Sheltand Refreshments Ltd),1,1
3409,Fox And Hounds / Houston Brewery Company,8,7
3410,Kelburn Brewing Company,8,5
3411,Fyne Ales Ltd,11,7
3413,Moulin Hotel & Brewery,2,1
3414,Hilden Brewing Company / Taproom,9,6
3415,Whitewater Brewing Co,17,7
3416,Williamsville Brewery,1,1
3419,Hakodate Beer,1,1
3422,T.Y. Harbor Brewery,7,6
3426,Lohrer Bier/Privatbrauerei Stumpf GmbH,6,3
3435,Mash,6,6
3439,Prairie Rock Brewery,7,7
3440,JT Schmid's Restaurant & Brewery,8,7
3441,Delafield Brewhaus,28,22
3442,Microbrouwerij Achilles,11,6
3443,Les Brasseurs De La Grand'Place,5,4
3444,Ginga Kogen Beer,13,7
3445,Storm Brewing,10,8
3446,Bowen Island Brewing Co. Ltd.,9,8
3447,Spinnakers Gastro Brewpub & Guesthouse,41,27
3448,Hoppy Brewing Co.,18,13
3449,Steamworks Brewing Company,21,18
3450,Birrificio Cittavecchia,3,3
3451,Laurelwood Pizza Co. (CLOSED),40,23
3452,Tugboat Brewing Company,11,10
3453,Sarajevska Pivara,4,4
3454,Gamla Stans Bryggeri,2,2
3455,Buckner Brewing Co.,7,7
3456,Brouwerij Sint-Jozef,12,9
3459,"Hand In Hand, Kemptown Brewery Co. Ltd",3,2
3461,Brasserie De Brunehaut,19,7
3462,Brouwerij Cnudde,1,1
3463,Brouwerij Contreras,9,5
3464,Brouwerij Deca Services NV,10,5
3465,Brouwerij De Ryck,9,5
3467,I.M. International Rokko Brewery,3,3
3469,Ezo Beer KK,11,8
3474,Listermann Brewing Supply & Mfg,8,7
3475,Redwood Lodge,18,17
3476,Nynäshamns Angbryggeri,32,23
3482,Sam Choy's / Big Aloha Brewery,10,10
3490,B.O.B.'s House Of Brews,19,15
3499,"Waoh / Yamato Brewery, K.K.",1,1
3508,Butcombe Brewery Ltd.,5,4
3512,Brouwerij Ter Dolen N.V.,6,5
3513,Les Artisans Brasseurs (Brasserie Mibrana),1,1
3515,Brouwerij Facon,1,1
3516,Brouwerij Het Sas,9,7
3517,Brouwerij Martens NV,21,10
3518,Domus,3,3
3520,Nagahama Roman Beer Co.,4,4
3521,De Proefbrouwerij (bvba Andelot),89,16
3522,Huisbrouwerij 't Pakhuis,3,3
3523,Brasserie La Rochefortoise,1,1
3524,Bayerische Brauerei Kaiserslautern,1,1
3526,Brasserie Battin,6,4
3527,Brasserie Bofferding,4,3
3528,Brasserie Artisanale de Redange,4,4
3529,Brasserie Simon,8,6
3530,Water Tower Brewing Company/US Play,2,2
3534,A.J.I. Beer Inc,13,12
3537,Konishi Brewing Co. (Shirayuki beer),1,1
3541,Beer Station Ryogoku,3,3
3543,Weiland Brewery Restaurant,3,3
3550,"Iki-iki Beer, K.K.",3,3
3551,Coedo Brewery (Kyodo Shoji Koedo Brewery),8,7
3552,Haneda Shuzo Y.K.,4,3
3553,Yo-Ho Brewing Company,19,16
3557,Steelhead Brewing Co.,17,12
3564,Gordon Biersch,8,8
3567,Oggi's Pizza & Brewing Co.,10,9
3570,Bilbo's Pizza,7,7
3584,Electric Brewing Company,4,4
3585,BJ's Restaurant & Brewery,8,8
3593,Beowulf Brewing Company,3,3
3594,Daniel Batham & Son Ltd,3,3
3596,Highgate Brewery Ltd,19,7
3597,Holdens Brewery Limited,7,5
3599,Baird Brewing Company / Fishmarket Taproom,45,32
3604,"Hidatakayama Brewing Agricultural Corporation, Ltd",7,6
3605,Church End Brewery Ltd,5,4
3614,Riverhead Brewery Limited,1,1
3620,Tuppers' Hop Pocket Brewing Company,4,4
3623,Grid Iron Brewpub & Grille,4,4
3624,Mysore Breweries Limited,1,1
3625,Paulaner Brauhaus (Pulana Pijiu Fang),1,1
3627,Le Bressan,4,3
3628,"Frog & Princess, The",2,2
3630,"Frog & Rosbif, The",9,6
3631,"Frog at Bercy Village, The",3,3
3647,Les 3 Brasseurs,3,3
3655,Schlossbrauerei Au-Hallertau,6,5
3656,Hofmark Brauerei,4,4
3665,Grosswald Brauerei,7,6
3668,Brasserie Henry,1,1
3671,Brasserie Artisanale des Vosges,5,5
3676,Brasserie De Clerck,1,1
3678,Les Brasseurs de Bercloux,1,1
3679,Brasserie la Cornue,2,2
3685,Brauerei Ludwig Erl,4,4
3686,Weissbierbrauerei Kuchlbauer,5,3
3687,Brauhaus Pfaffenhofen Urban,4,4
3689,Hofbrauhaus Freising,9,7
3690,Peschl Bräu,6,6
3691,Privatbrauerei Schweiger,5,4
3693,Restaurant Flieger Bräu,1,1
3694,Unertl Weissbier GmbH,6,3
3695,Weissbierbrauerei Andorfer,1,1
3697,Flötzinger Bräu/Privatbrauerei Franz Steegmüller,7,6
3700,Kunino Cho,1,1
3701,Okhotsk Brewery Inc.,4,4
3702,Shinano Brewery Vanryu / Chestnut Pub,3,3
3704,"Stone Iwamoto Co., Ltd / Hakusekikan Beer Restaurant BACCHUS",10,9
3707,Dortmunder Union Brauerei,2,2
3711,Old Yale Brewing Co.,5,5
3713,Sudds Brewery Ltd.,1,1
3714,Pivara Tuzla,2,2
3715,Brasil Kirin,6,4
3716,Wolf Brewing Company,12,7
3717,Micro-Brasserie L'Alchimiste,13,11
3718,Microbrasserie du Lièvre,15,12
3720,Brasserie Belgh Brasse,1,1
3721,Chez Gambrinus,10,10
3722,"Le Bilboquet, Brasseur Artisan",13,12
3723,La Voie Maltée,15,14
3724,Microbrasserie la Memphré,1,1
3725,Réservoir,18,16
3726,La Diable,7,7
3747,Brasserie Les Trois Brasseurs,5,3
3748,Brasserie Brootcoorens,5,2
3749,Seven Bridges Grille And Brewery,28,20
3753,Okanagan Spring Brewery,12,11
3759,Mount St. Helena Brewing Company,5,5
3760,Mill Street Brew Pub,42,27
3768,Lunar Brewing,66,40
3772,Browary Warszawskie Królewskie S.A. (Brau Union Polska),4,3
3774,Pivovar Prerov,6,4
3775,C.A. Cerveceria Regional,1,1
3776,Third Street Aleworks,38,30
3777,Augusta Brewing Company,20,17
3778,Browar Van Pur S.A. (Brau Union Polska),17,4
3783,Lech Browary Wielkopolski (SABMiller),2,2
3791,Eske's Brew Pub & Eatery,11,9
3792,Turtle Mountain Brewing Company,17,15
3793,Kelly's Brewpub,14,13
3794,Milagro Brewery And Grill,2,2
3795,Fernie Brewing Co.,10,9
3796,Privatbrauerei Strate Detmold,1,1
3797,Second Street Brewery,21,17
3798,High Desert Brewing Company,9,9
3799,Brauerei Zipf (Brau Union),7,6
3800,Erste Obermurtaler Brauereigenossenschaft,5,5
3801,Brok Brewery,7,3
3805,Brauerei Im Füchschen,3,2
3816,Brenham Brewing Company,3,3
3817,Duncan's Founders Brewery,4,4
3818,Southern Tier Brewing Company,51,25
3820,Bozeman Brewing Company,7,6
3825,Åbro Bryggeri,39,11
3833,Pivzavod AO Hamovnikov /Gaven v Khamovnikakh,7,4
3834,Bi-Du,8,8
3835,Drake's Brewing Co.,99,30
3839,Herrljunga Cider (Gamlestadens Bryggeri),3,2
3842,Lion Breweries,4,4
3844,Brasserie Basabürüa,1,1
3845,Brasserie Hollbeer et Magasin,5,4
3846,Kazbegi-Castel Lilo Brewery,2,2
3857,Tuscan Brewing,2,2
3858,Yarpivo,1,1
3865,North End Tavern & Brewery,14,10
3900,Kaltenberg International / König Ludwig International GmbH & Co.KG,17,9
3912,Cameron's Brewing Co.,16,12
3915,Brewbakers Brewing,11,10
3922,Taylor Brewing Company,17,15
3923,Henninger Bräu AG,5,5
3925,Mickey Finn's Brewery,53,36
3926,Trinidad Brewing Company,9,9
3929,The Hillsborough Hotel,5,5
3938,Bandana Brewery,25,21
3941,Kankiku Brewery,3,3
3943,Cervecera CCU Chile Ltda,7,4
3944,Hausbrauerei Altstadthof,2,2
3945,Alte Klosterbrauerei Vierzehnheiligen Brauerei Trunk,1,1
3956,Brewsters Brewing Company & Restaurant - Oliver Square,43,27
3957,Grebbestad Bryggeri,10,6
3960,Elk Grove Brewing Co Inc.,4,4
3963,Hellenic Breweries Of Atalanti S.A.,8,5
3964,Ram Restaurant & Brewery,24,22
3965,Anacapa Brewing Company,24,20
3966,Wernesgrüner Brauerei AG,1,1
3968,Lily's Seafood & B.C.,9,8
3970,Terre Haute Brewing Co. & Tap Room,3,3
3972,A1A Aleworks,10,10
3991,St. Peters Brewery (Australia),5,5
3995,Byron Bay Brewing,2,2
3996,Billabong Brewery,5,4
3998,The BrewHouse,11,9
4013,Glenwood Canyon Brewing / Canyon Brew Pub,19,18
4014,Mystic Brewing Company,1,1
4016,Ragtime Taproom & Brewery,12,11
4027,Great Adirondack Steak And Seafood Co.,24,19
4028,Neustadt Springs Brewery,20,15
4029,S´Kloane Brauhaus,1,1
4035,The Kingston Brewing Company,10,8
4036,Old Credit Brewing Co.,4,4
4043,Fort Garry Brewing Company Ltd.,12,7
4045,Russell Brewing Company,19,17
4047,The Tin Whistle Brewing Company,12,8
4048,Mt. Begbie Brewing Co.,11,10
4049,Cannery Brewing Company,13,12
4051,Mammoth Brewing Company,18,15
4053,Bootlegger's Restaurant & BrewPub,2,2
4063,River City Brewing Co.,23,20
4067,Fordham Brewing Company,31,21
4069,Ram Restaurant & Brewery,19,16
4073,Highlands Hollow Brewhouse,4,4
4075,McCall Brewing Company,2,2
4077,M.J. Barleyhoppers Sports Bar and Brew Pub,1,1
4078,Bertram's Salmon Valley Brewery & Restaurant,2,2
4079,Brownstone Restaurant & Brewhouse,8,7
4085,Ningbo Lion Brewery,1,1
4087,Spendrups Bryggeri AB,62,14
4089,Krönleins Bryggeri AB,23,9
4090,Två Bryggare - Österlenbryggarna (Ysta Bryggeri),3,2
4091,Ahlafors Bryggerier AB,4,4
4093,Fischerbräu 1. Wiener Gasthof-Brauerei,9,8
4096,Salm Bräu,4,4
4098,Siebensternbräu,10,9
4099,Wieden Bräu,2,2
4102,Hartwall Helsinki Panimo,11,6
4103,Pivovar Breznak,8,5
4105,Pivovar Louny,1,1
4106,Žatecký Pivovar,4,2
4107,Pivovar &#268;erná Hora,10,7
4108,Pivovar Litovel,4,2
4109,Privatbrauerei Josef Sigl KG,1,1
4110,Fire Station 5 Brewing Company,9,6
4111,Blacksburg Brewing Company,5,5
4113,Mohrenbrauerei August Huber,5,3
4114,Stiftsbrauerei Schlägl,7,6
4117,Brauerei Raschhofer,2,2
4120,Privatbrauerei Wurmhöringer,1,1
4121,Raggei-Bräu,2,2
4123,Gasthofbrauerei Heustadl,3,3
4125,Gore Range Brewery,8,7
4136,Bierbrouwerij De Keyzer,1,1
4146,Karl Strauss Brewing Company,66,45
4150,"Denmark Brewing, LLC",6,6
4151,Schlossbrauerei Stein Wiskott GmbH & Co. KG,5,5
4154,Klosterbrauerei Reutberg,5,5
4155,Neumarkter Lammsbräu,19,9
4161,Rother Bräu,3,3
4172,Coffaro Beer Company,1,1
4173,Grupo Cruzcampo SA,7,6
4174,Galbraith's Alehouse,9,7
4194,"Mantorville Brewing Company, LLC",3,3
4196,Copper Creek Brewing Company,35,28
4210,Ohio Brewing Company,1,1
4214,Hops Grillhouse & Brewery,2,2
4216,Crailsheimer Engelbräu,16,10
4217,Miyashita Shuzo,3,3
4231,Prairie Rock Brewing Company,9,9
4234,Hoster Brewing Company,5,4
4237,Blue Cat Brew Pub,28,24
4258,Brasserie Cornelyshaff á Heinescheid,4,4
4259,Brasserie Salaisons Hotel - BeierHaascht,2,2
4260,Brasserie D'Ecaussinnes,16,7
4261,Brasserie Des Géants,7,7
4262,Brasserie Heineken,12,10
4274,The Bag and Kettle,3,3
4278,Taylor's Restaurant and Brewery,2,2
4282,Keoki Brewing Company,5,3
4285,Brouwerij De Cock,4,3
4286,Lotsolox Brewing Company,5,5
4288,Newport Beach Brewing Company,39,24
4298,Gem Of The Sea Brewing Co.,2,2
4300,San Marcos Brewery & Grill,12,10
4302,"Belize Brewing Co., Ltd.",5,3
4304,Avesta Bryggeri,3,2
4305,Millingstorp Gårdsbryggeri AB,5,2
4315,Brasserie Thiriez,10,7
4317,Six Rivers Brewery,14,12
4325,Barley Brothers Brewery & Grill,11,11
4326,Oak Creek Brewery And Grill,12,10
4335,The Wheat Beer Company,1,1
4336,Hilton Head Brewing Company,6,6
4338,C.B. & Potts Restaurant & Brewery,7,7
4341,The Brewery at 34 Depot Street,5,4
4358,Schlafly Bottleworks,4,4
4359,Smuggler's Brewpub & Grille,8,7
4372,Port Halling Brewing Company,2,2
4374,Lapin Kulta,3,2
4375,Bushwakker Brewing Company,37,30
4377,Syracuse Suds Factory,6,5
4378,Georgetown Brewing Company,11,8
4379,Elysian Tangletown,3,3
4384,Lightning Boy Brewery,1,1
4385,Kennedy School (McMenamins),5,5
4386,Wiibroes Bryggeri,2,2
4398,Baron Brewing,31,23
4399,New South Brewing Co.,13,12
4407,Brewery Creek Inn Restaurant & Brewery,5,4
4408,RJ Rockers Brewing Company,28,17
4409,Shyestnadtsat Tonn/Sixteen Tons,2,2
4410,Back Street Brewery,53,34
4412,B.W. Beer Works USA,1,1
4425,John Smith's Limited,3,2
4426,Hinterland Brewery Restaurant,20,15
4432,Lengthwise Brewing Company,8,8
4434,Cugino Brewing,2,2
4437,1st City Brewery and Grill,10,10
4440,Brauerei Rosengarten AG,4,3
4442,Pivovarský D&#367;m,14,9
4443,Prvni Novomestsky Restauracni Pivovar,2,2
4452,Draught Microbrewery Bar & Grill,4,4
4453,Memminger Brauerei,12,8
4457,Brauerei Wieselburg (Brau Union),4,2
4458,Rathaus Brauerei,5,5
4459,Brauerei Kapsreiter GmbH,7,5
4460,Privatbrauerei Fritz Egger GmbH & Co,9,5
4461,Schladminger Brau GmbH,2,2
4462,Branger Alm,1,1
4466,Brauerei Schloss Starkenberg,3,3
4467,Brauerei Schwarzach Walter Seeber,1,1
4471,Vereinigte Kärntner Brauereien AG,8,7
4472,Die Weisse,3,3
4473,1516 Brewing Company,18,14
4475,Braucommune in Freistadt,6,6
4476,Bräu Am Berg Starzinger KG / Brauerei Aspach,1,1
4477,Brauerei Göss (Brau Union),9,6
4478,Brauerei Puntigam (Brau Union),3,2
4479,St. Georgs Bräu GmbH,1,1
4490,Vetter Alt Heidelberger Brauhaus,4,4
4494,Kraft Bräu - Blesius Garten,2,2
4499,"B&O Station Brewery & Restaurant, The",10,7
4500,Brasserie Vanuxeem,5,4
4501,Brasserie De Bouillon / Le Marché De Nathalie,24,6
4508,Harwell's Steakhouse & Brewery,6,6
4509,Wellington's Backwater Brewing Co.,4,4
4511,Burgdorfer Gasthausbrauerei,1,1
4529,Little River Brewing Company,2,2
4552,McGuire's Irish Pub of Destin,10,10
4553,Fürst Wallerstein Brauhaus,7,7
4555,Tustin Brewing Company,47,25
4558,Altes Tramdepot,6,6
4561,Brasserie Augrenoise,2,2
4568,Crannóg Ales,10,9
4597,Privatbrauerei Lauterbach,9,4
4598,Schlossbrauerei Grünbach,3,2
4614,Orlando Brewing Partners,34,22
4629,Quarryman Taverne & Brewery,1,1
4632,Pumphouse Brewery,27,17
4663,Brasserie Artisanale De Rullés SPRL,10,6
4667,Yarra Flats Brewery,5,4
4668,Jamieson Brewery,11,10
4669,Masthead Brewery,9,8
4670,Oakbank Brewing,3,3
4680,Privatbrauerei M.C. Wieninger,6,6
4685,Hofbräuhaus Newport,13,12
4686,Hofbräuhaus München,16,10
4691,Brouwerij Fisser NV,1,1
4696,Brew Brothers Brewery,7,5
4698,P.H. Woods Restaurant & Brewery,9,8
4701,Yukon Brewing Company,19,16
4704,Murphy's Wagon Wheel,2,2
4705,Jaipur Brewing Company,4,4
4706,Belle Isle Restaurant & Brewery,11,11
4707,Choc Beer Co. / Pete's Place,26,21
4709,Angara Restaurant And Brewery,4,4
4711,Ojai Brewpub,6,6
4712,"Brewhouse, The",30,22
4713,Eder & Heylands Brauerei,9,9
4724,Gulf Islands Brewing,6,6
4732,McMenamins Six Arms,3,3
4738,Grand Lake Brewing Company,16,14
4739,Moffat Station Brewery,1,1
4740,Temecula Brewing Company,5,5
4742,Ukiah Brewing Co.,12,12
4748,Viking Brewery - Vifilfell Ltd.,11,6
4766,Castel-Sakartvelo,4,3
4774,Coast Brewing Company,5,5
4778,3 Ravens Brewing,15,13
4785,"Abashiri, K.K.",10,8
4787,Brauerei Frastanz,3,3
4788,Brauhaus Simon Strasser,1,1
4808,Copper Dragon Brewery,6,4
4828,Photos Photiades Breweries,1,1
4832,Triumph Brewing Company,54,44
4833,Silver Creek Brewing Co.,8,7
4834,"Courthouse Pub, The",5,4
4835,Thirsty Pagan Brewing,30,20
4837,Brasserie Le Gambrinus,7,3
4847,Brasserie Des Gabariers (L&L Cognac SA),3,3
4850,McMenamins Dad Watson's,1,1
4853,Tinkoff's Brewery Restaurant,2,2
4858,Draught House Pub & Brewery,56,32
4860,Rocky Run Tap And Grill,5,5
4861,Frankenmuth Brewery,19,16
4862,King Arthur's Steakhouse And Brewery,15,15
4865,Speight's Brewery,7,6
4871,Deep Creek Brewing Company,13,13
4873,Feather River Brewing Co,3,3
4884,Privatbrauerei Schwelm,11,7
4887,Elland Brewery,17,7
4888,Dent Brewery,5,4
4889,"McMullen & Sons, Ltd.",5,2
4893,Hyouko Yashiki No Mori Brewery,8,7
4897,Jaxon's Restaurant and Brewing Company,12,12
4898,Cheriton Brewery,3,2
4909,Gasthaus & Gosebrauerei Bayerischer Bahnhof,5,4
4914,Pyatiy Okean,2,2
4916,Big Bear Mountain Brewery,6,6
4920,Pivovariya Ivana Taranova,15,9
4922,Day Brewing Company,1,1
4924,Arsentich,4,4
4926,Seabright Brewery,46,24
4927,Liberty Steakhouse Brewery,15,12
4928,Liberty Steakhouse & Brewery,15,13
