brewery_id,brewery_name,no_of_beers,no_of_beerstyles
194,McAuslan Brewing,20,11
195,Brouwerij De Musketiers,7,4
196,Brouwerij De Smedt / Brouwerij Affligem,23,9
197,Brasserie Fischer / Fischer Biere d' Alsace,18,9
198,De Ridder Brewery,3,3
199,Ballast Point Brewing Company,81,30
200,Mendocino Brewing Company,33,22
201,Brouwerij De Dolle Brouwers,28,8
202,Brouwerij Bosteels,4,4
203,Greene King / Morland Brewery,48,12
204,Tempo Beer Industries LTD,5,5
205,Buffalo Bill's Brewery,12,11
206,Hook & Ladder Brewing Company (No. 2),8,8
207,Brasserie de Rochefort,3,3
208,Brouwerij Westmalle,3,3
209,Guinness Ltd.,27,9
210,Maplewood Farms Restaurant & Brewery,20,18
211,Watch City Brewing Co.,107,51
212,Brouwerij Van Honsebrouck N.V.,28,12
213,Narragansett Brewing Co.,8,8
214,Brouwerij De Gouden Boom,5,4
215,Bières de Chimay S.A.,4,4
216,Brouwerij Rodenbach N.V.,10,2
217,Brouwerij Riva S.A.,7,6
218,Brouwerij De Koninck NV,14,8
219,Sudwerk Restaurant and Brewery,21,14
220,Lagunitas Brewing Company,92,31
221,Desnoes & Geddes Limited,8,4
222,Brouwerij Duvel Moortgat NV,12,8
223,Brouwerij Bockor N.V.,13,8
224,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,4,3
225,Amherst Brewing Co.,41,27
226,Nashoba Valley Winery,23,18
227,Rock Bottom Restaurant & Brewery,23,18
228,Z Street Brewing Company,13,13
230,Barrington Brewery & Restaurant,20,17
231,The People's Pint,32,21
233,Sherwood Forest Brewers Ltd.,5,5
234,Owen O'Leary's,7,6
235,Northampton Brewery,46,32
236,Offshore Ale Company,47,30
237,Quincy Ships Brewing Company,10,10
240,Murphy Brewery Ireland Limited,2,2
252,Bayerische Staatsbrauerei Weihenstephan,15,10
253,Casco Bay Brewing Co.,13,9
254,Oak Pond Brewing Company,8,7
255,SLO Brewing Company,16,12
256,Lost Coast Brewery and Cafe,36,23
257,Steel Brewing Company,2,1
258,Birra Peroni Industriale S.p.A.,6,1
259,Brouwerij St. Bernardus NV,14,7
260,Brasserie De Saint-Sylvestre,9,3
261,Cisco Brewers Inc.,37,19
262,Shmaltz Brewing Company,43,15
263,Brauerei Heller-Trum / Schlenkerla,8,3
264,Oy Sinebrychoff Ab,20,10
266,Mad River Brewing Company,26,18
267,Odell Brewing Company,98,44
268,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan,9,7
269,Ceres Brewery (Royal Unibrew),12,7
270,Virgin Islands Brewing Co.,4,4
272,Carib Brewery Limited,13,6
273,SweetWater Brewing Company,59,27
281,"Tsingtao Brewery Co., Ltd.",13,8
282,Salopian Brewing Company Ltd,11,6
283,Brouwerij Liefmans,21,5
284,Sapporo Breweries Ltd.,38,14
285,Brauerei Schloss Eggenberg,14,9
286,Hampshire Brewery Ltd,14,9
287,"Bell's Brewery, Inc.",121,40
288,Brauerei Heinrich Reissdorf,1,1
289,Saint Ides Brewing Company,1,1
290,Binding-Brauerei AG,18,9
292,"Kirin Brewery Company, Limited",54,19
293,Bass Brewers Limited,14,4
294,Cropton Brewery,17,10
295,St. Georgenbräu,10,9
296,St. Peter's Brewery Co Ltd,27,14
297,Thomas Caffrey Brewing Co.,2,2
298,Coniston Brewing Co. Ltd,6,3
301,Sociedade Central de Cervejas,12,5
302,Genesee Brewing Co. / Dundee Brewing Co.,37,22
303,Bud&#283;jovický M&#283;&#357;anský Pivovar,9,3
304,Brewery Budweiser Budvar / B.B.N.P.,9,4
306,Coors Brewing Company,32,17
307,"Kinsale Brewing Company,",2,2
309,Brasserie Duyck,15,5
313,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),5,4
314,"Yuksom Breweries, Ltd.",6,2
318,Castello Di Udine S.p.A.,13,4
319,Brau Union Österreich AG,19,10
320,Hamm's Brewing Co.,3,2
321,Brasserie d'Achouffe,15,9
322,Brouwerij Smisje,29,12
323,Harviestoun Brewery Ltd.,40,15
324,Falstaff Brewing Company,1,1
335,New Holland Brewing Company,90,48
337,Saint Arnold Brewing Company,33,25
338,Andrew's Brewing Co.,6,4
339,Flying Fish Brewing Company,31,21
341,Columbus Brewing Company,58,34
342,The Caledonian Brewery Company Limited,27,11
343,"Jasper Murdock’s Alehouse, Dining Room & Microbrewery",19,16
345,Victory Brewing Company,122,48
347,Bar Harbor Brewing Company,8,7
348,Jack Russell's Steak House / Maine Coast Brewing Co.,12,11
350,Coeur d'Alene Brewing Co.,18,17
351,Steam Plant Grill,13,12
352,J.C.& R.H.Palmer Ltd.,2,2
353,"Carlton & United Breweries, Ltd.",44,12
354,Carolina Beer Company,28,17
355,San Miguel Corporation,12,6
356,Kross Brewing Company,3,2
357,New England Brewing Co.,24,17
358,Beamish & Crawford Plc.,3,2
359,T & R Theakston Ltd.,7,5
360,Warsteiner Brauerei,11,6
361,Bend Brewing Company,30,21
363,Big Time Brewery & Alehouse,56,29
364,Maritime Pacific Brewing Company,27,17
365,Pike Pub & Brewery,28,20
366,Thomas Kemper Brewing Co.,8,7
367,"Boon Rawd Brewery Co., Ltd",6,3
368,Capital Brewery,33,20
371,Montgomery Brewing Company,13,13
372,Olde Auburn Ale House,16,10
375,Borealis Brewery,1,1
377,Glacier Brewhouse,26,20
378,Atlantic Brewing Company,17,16
379,Moosehead Breweries Ltd.,17,6
380,Brasserie Castelain,17,5
381,Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,14,14
383,Live Oak Brewing Company,11,10
384,New Knoxville Brewing Company,7,7
385,Midnight Sun Brewing Co.,98,44
386,Broken Tooth Brewing,23,17
387,Edsten Brewing Company,2,2
388,Brasserie Cantillon,46,5
389,Ceylon / Lion Brewery Limited,3,3
390,Oaken Barrel Brewing Company,20,16
391,Big Rock Brewery,52,26
392,Weyerbacher Brewing Co.,74,42
393,Heavyweight Brewing Co.,54,30
394,Stoudts Brewing Co.,73,37
395,Bluegrass Brewing Co. - East St. Matthew's,90,49
396,AleSmith Brewing Company,56,20
397,Pipkin Brewery,3,3
400,Belfast Bay Brewing Co.,4,4
401,Baltika Breweries,51,18
402,Old Dominion Brewing Company,89,49
403,"Pyramid Breweries, Inc.",44,28
404,Dixie Brewing Co.,6,5
406,Homer Brewing,12,11
408,Silver Gulch Brewing and Bottling Co.,14,13
409,Central Coast Brewing,15,12
410,Pittsburgh Brewing Co.,31,10
411,Stoney Creek Brewing Company,13,10
412,Kulmbacher Brauerei AG,33,15
413,Grand Teton Brewing Co.,52,31
414,Diamond Bear Brewing Company,12,11
415,Sleeman Breweries Ltd.,35,17
416,Brick Brewing Co. / Red Baron Lounge,39,16
417,August Schell Brewing Company,54,31
418,Left Hand Brewing Company,52,32
419,Spanish Peaks Brewing Co.,17,11
420,Oldenberg Brewing Company,4,4
421,Formosa Brewing Co.,3,3
422,Oconomowoc Brewing Company,3,3
423,Boulevard Brewing Co.,39,25
424,Crooked River Brewing Co.,8,8
425,H.C. Berger Brewing Co.,9,7
426,Maclay Inns Ltd.,6,5
427,"Marston, Thompson & Evershed, Plc.",41,10
428,Mahrs-Bräu,14,12
429,Alaskan Brewing Co.,23,19
430,Alltech’s Lexington Brewing and Distilling Co.,9,8
431,Hudepohl-Schoenling Brewing Co.,11,8
432,Bohannon Brewery / Market Street Brewery,6,6
433,Molson Coors Canada,64,18
434,Cervejaria Sul Brasileira,4,4
435,Minhas Craft Brewery,81,28
436,Brouwerij Alken-Maes,25,13
437,Pivovary Staropramen,14,5
438,Kennebec River Brewery,11,8
439,UNICER União Cervejeira S.A.,9,5
440,Ochakovo,17,6
442,F & M Schaefer Brewing Co.,2,2
443,Roffey  Brewing Company,2,2
445,Bedele Brewery,2,2
446,Traverse Brewing Company,7,6
447,Pabst Brewing Company,77,13
448,Pivovar Velké Popovice a.s.,7,3
449,New Amsterdam Brewing Company,6,5
450,Yards Brewing Co.,33,25
451,Moat Mountain Smoke House & Brewing Co.,30,26
453,Pivovarna Laško,10,7
454,Arcadia Brewing Company,38,25
455,Creemore Springs Brewery Limited,5,5
456,Trinity Brewhouse,68,46
457,Lakeport Brewing Company,17,9
458,Real Ale Brewing Company,30,18
459,Mackinaw Brewing Company,12,11
460,Belmont Brewing Company,8,6
461,Thunderhead Brewing Company,29,25
462,Sackets Harbor Brewing Co.,17,14
463,Magnolia Pub & Brewery,56,37
464,Badische Staatsbrauerei Rothaus AG,5,3
465,Pend Oreille Brewery and Grill,2,2
466,South African Breweries plc,9,6
467,Summit Brewing Company,24,20
468,Minnesota Brewing Company,6,4
470,Abbaye de Leffe S.A.,10,6
471,Brauerei Fässla,8,7
472,Brauerei Leikeim,10,7
473,Pacific Western Brewing Company,17,12
474,Inertia Industries Ltd.,1,1
475,Pivovarna Union,6,3
476,Swale Brewery,3,3
477,Willimantic Brewing Co.,138,44
478,Labatt Brewing Company Ltd.,52,15
479,Watney Truman Ltd.,2,2
481,Stuttgarter Hofbräu AG,9,5
482,Hansa Borg Bryggerier ASA,5,3
483,Grans Bryggeri AS,2,2
484,Gray's Brewing Company,20,17
485,Humboldt Brews LLC,6,6
486,Legend Brewing Co.,44,26
487,Tampa Bay Brewing Co.,35,28
488,Only the Best Brewing Company,5,5
489,Brouwerij 't IJ,13,8
490,Liquid Manufacturing (Arlington Brewing Co.),5,5
491,Coopers Brewery Limited,18,11
492,Vancouver Island Brewery,12,11
493,Cosmos Brewery (Thai Beverage Plc.),7,4
494,Malt Shovel Brewery,22,17
495,Saxer Brewing Company / Nor'Wester Beer Company,16,11
497,Bierbrouwerij De Drie Ringen,5,5
498,Bavaria Brouwerij N.V.,39,11
499,Het Brouw Café,1,1
500,Surinaamse Brouwerij N.V.,2,2
501,Delta Djakarta,2,2
502,Bintang,1,1
503,Dreher Brewery,6,3
504,Bierbrouwerij 't Vølendam,5,5
505,Den Engel Bierbrouwers,1,1
506,Grolsch Bierbrouwerij N.V.,19,14
507,Gulpener Bierbrouwerij B.V.,19,12
508,Burg Bier Brouwerij,4,3
509,Haerlemsche Bierbrouwerij B.V.,2,2
511,Stadsbrouwerij De Hemel,10,5
512,De 3 Horne Bierbrouwerij,22,11
514,Jopen Bier BV Haarlem,20,16
515,Huisbrouwerij Klein Duimpje,15,13
517,Brouwerij De Drie Kruizen,1,1
518,Bierbrouwerij De Leeuw B.V.,3,3
519,Maasland Bierbrouwerij,10,8
521,Bierbrouwerij Onder De Linden,6,4
523,Museumbrouwerij De Roos,5,4
524,Bierbrouwerij De Schans,9,8
526,Texelse Bierbrouwerij,11,11
527,Utrechtse Stoombierbrouwerij B.V.,4,3
529,Bierbrouwerij De Halve Maan,6,5
530,Arcense Stoombierbouwerij (Hertog Jan Brouwerij),17,12
531,Brand Bierbrouwerij,8,8
532,Budelse Brouwerij B.V.,14,11
533,Dommelsche Bierbrouwerij,3,3
534,Erve Kots Brouwerij,1,1
535,Friese Bierbrouwerij,5,5
537,Groningse Stadsbrouwerij,13,8
539,Hoeksche Waard Bierbrouwerij,4,2
540,Brouwerij De Horste,4,3
543,Brouwerij 't Koelschip,5,2
544,Brouwerij De Leckere,19,10
545,Lindeboom Bierbrouwerij B.V.,7,7
546,Alfa Bierbrouwerij B.V.,9,7
547,Bierbrouwerij Moerenburg,1,1
548,Oranjeboom Bierbrouwerij B. V.,12,6
549,Brouwerij De Pauw B.V.,2,2
550,Stadsbrouwerij De Pelgrim,3,3
552,Scheldebrouwerij,22,11
553,Bierbrouwerij Sint Christoffel B.V,10,7
554,Bierbrouwerij Sint-Servattumus,27,9
555,Feldschlösschen Beverages Group,16,7
556,City Steam Brewery Café,67,39
557,SBC Restaurant & Brewery - Southport,12,11
558,Independent Liquor,1,1
559,Speakeasy Ales & Lagers,40,22
560,Saku Brewery LTD,13,8
561,Colorado Brewing & Trading Co.,7,7
562,Steinhaus Brewing Co.,16,12
563,Wild River Brewery & Pizza Company,12,12
564,Island Cafe & Brew Pub,5,5
565,Michigan Brewing Company,51,30
566,Krombacher Brauerei,10,9
567,Orchard Street Brewery,7,6
568,Browar Okocim S.A. (Carlsberg),15,7
569,Anadolu Efes Brewery,16,11
571,Pivovar Radegast a.s.,6,2
572,Castlemaine Perkins,12,4
573,Hahn Brewing Co. Pty. Ltd.,11,7
574,Swan Brewery,6,4
575,Foster's Group Limited,7,5
576,Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.,1,1
577,Isle Of Skye Brewery,10,6
578,The Liberal Cup Public House & Brewery,20,16
579,Kona Brewing Co.,31,19
580,Browar &#321;om&#380;a Sp. z o.o.,8,4
581,Banks (Barbados) Breweries Limited,7,5
582,Trailhead Brewing Company,19,18
583,Saint Louis Brewery / Schlafly Tap Room,103,61
584,Ottakringer Brauerei AG,16,10
585,Brauerei Gebrüder Maisel GmbH & Co.,11,7
586,Martha's Exchange,60,42
587,Long Valley Pub & Brewery,23,18
588,Krogh's Restaurant And Brewpub,15,15
589,Fratello's & Fox River Brewing,17,15
590,New Glarus Brewing Company,59,37
591,Hoptown Brewing Company,11,10
593,Morgan Street Brewery,23,19
594,Route 66 Brewery,13,13
596,Portsmouth Brewery,96,56
597,Marietta Brewing Company,13,11
598,Onion Pub & Brewery / Wild Onion Brewing Co.,32,25
599,Brasseurs Du Nord Inc.,8,8
600,Kimmels Riga,4,3
601,Obolon Brewery,25,11
603,Church Brew Works,98,57
604,Brasserie Dubuisson Frères sprl,14,4
605,"Bayern Brewing, Inc.",14,11
606,Ozark Brewing Company,5,5
607,High Point Brewing Company,18,13
608,Rio Grande Brewing Company,3,3
609,Bison Brewing,33,20
610,Bear Republic Brewing Co.,103,45
611,Wagner Valley Brewery,17,13
612,Flossmoor Station Restaurant & Brewery,158,56
613,Bitburger Brauerei,5,4
614,Troy Pub And Brewery,16,15
617,Niagara Brewing Company,19,10
618,Wellington County Brewery,17,13
619,Indian Wells Brewing Company,26,15
620,Der HirschBrau/Privatbrauerei Höss,15,9
621,Tinkoff,9,8
622,Shaftebury Brewing Company,10,9
623,Zywiec Breweries PLC (Heineken),11,6
